year,sex,number_of_cm,name,age,group
1998,f,6,鈴木　蘭々,,
1998,f,6,田中　美佐子,,
1998,f,6,常盤　貴子,,
1998,f,6,中村　玉緒,,
1998,f,6,中山　エミリ,,
1998,f,6,松嶋　菜々子,,
1998,f,6,村上　里佳子,,
1999,m,8,ＫＯＮＩＳＨＩＫＩ,35,
1999,m,8,所　ジョージ,44,
1999,m,7,香取　慎吾,22,
1999,m,7,草_　剛,24,
1999,m,7,爆笑問題,_,
1999,m,6,織田　裕二,31,
1999,m,6,木村　剛,21,
1999,m,6,加藤　晴彦,23,
1999,m,6,竹野内　豊,28,
1999,m,6,並樹　史朗,41,
1999,m,6,役所　広司,43,
1999,f,11,飯島　直子,31,
1999,f,10,中村　玉緒,59,
1999,f,10,藤原　紀香,27,
1999,f,9,加藤　あい,16,
1999,f,9,吉川　ひなの,19,
1999,f,8,ビビアン・スー,24,
1999,f,8,田中　麗奈,18,
1999,f,8,本上　まなみ,23,
1999,f,8,木村　佳乃,22,
1999,f,8,鈴木　紗理奈,21,
1999,f,8,中山　美穂,29,
1999,f,8,広末　涼子,18,
1999,f,8,深田　恭子,16,
1999,f,8,優香,18,
1999,f,6,ＳＰＥＥＤ,_,
1999,f,6,奥菜　恵,19,
1999,f,6,佐藤　藍子,21,
1999,f,6,さとう　珠緒,26,
1999,f,6,鈴木　亜美,17,
1999,f,6,鈴木　蘭々,23,
1999,f,6,中山　エミリ,20,
1999,f,6,松　たか子,21,
1999,f,6,松嶋　菜々子,25,
1999,f,6,村上　里佳子,33,
1999,f,6,山田　まりや,19,
2000,m,10,所　ジョージ,45,
2000,m,9,香取　慎吾,23,
2000,m,9,郷　ひろみ,44,
2000,m,8,田中　要次,36,
2000,m,8,役所　広司,44,
2000,m,6,並樹　史朗,42,
2000,m,6,鈴木　史朗,62,
2000,m,6,木村　拓哉,27,
2000,m,6,本木　雅弘,34,
2000,f,12,飯島　直子,32,
2000,f,11,藤原　紀香,28,
2000,f,9,加藤　あい,17,
2000,f,9,神田　うの,25,
2000,f,8,江角　マキコ,33,
2000,f,8,田中　麗奈,19,
2000,f,8,広末　涼子,19,
2000,f,8,松嶋　菜々子,26,
2000,f,8,水野　真紀,30,
2000,f,8,村上　里佳子,34,
2000,f,8,優香,19,
2000,f,7,モーニング娘。,_,
2000,f,7,ビビアン・スー,25,
2000,f,7,中村　玉緒,60,
2000,f,7,米倉　涼子,24,
2000,f,6,梅宮　アンナ,27,
2000,f,6,川原　亜矢子,28,
2000,f,6,木村　佳乃,23,
2000,f,6,黒木　瞳,39,
2000,f,6,釈　由美子,21,
2000,f,6,中谷　美紀,24,
2000,f,6,中山　美穂,30,
2000,f,6,浜崎　あゆみ,21,
2000,f,6,本上　まなみ,24,
2001,m,10,中居　正広,28,
2001,m,8,香取　慎吾,24,
2001,m,8,所　ジョージ,46,
2001,m,7,渡部　篤郎,32,
2001,m,7,木村　拓哉,28,
2001,m,6,織田　裕二,33,
2001,m,6,田中　要次,37,
2001,m,6,中田　英寿,24,
2001,m,6,田村　正和,57,
2001,f,13,飯島　直子,33,
