drama_title,drama_category,,,main_actor,start_at
ビンタ!～弁護士事務員ミノワが愛で解決します～,裁判ドラマ,読売テレビ,木曜23:59 - 翌0:54,松本利夫,2014-10-01
新・刑事吉永誠一,刑事ドラマ,テレビ東京,金曜19:58 - 20:54,船越英一郎,2014-10-01
Nのために,純愛ミステリードラマ,TBS,金曜22:00 - 22:54,榮倉奈々,2014-10-01
黒服物語,人間ドラマ,テレビ朝日,金曜23:15 - 翌0:15,中島健人,2014-10-01
玉川区役所 OF THE DEAD,ホラーコメディ,テレビ東京,土曜0:12 - 0:52,林遣都,2014-10-01
甲殻不動戦記 ロボサン,特撮ドラマ,テレビ東京,土曜0:52 - 1:23,私立恵比寿中学,2014-10-01
地獄先生ぬ～べ～,学園ドラマ,日本テレビ,土曜21:00 - 21:54,丸山隆平,2014-10-01
平成舞祭組男,,日本テレビ,日曜0:50 - 1:20,舞祭組,2014-10-01
軍師官兵衛,大河ドラマ,NHK,日曜20:00 - 20:45,岡田准一,2014-10-01
ごめんね青春!,学園ドラマ,TBS,日曜21:00 - 21:54,錦戸亮,2014-10-01
警部補・杉山真太郎～吉祥寺署事件ファイル,警察ドラマ,TBS,月曜20:00 - 20:54,谷原章介,2015-01-01
デート～恋とはどんなものかしら～,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,杏,2015-01-01
太鼓持ちの達人～正しい××のほめ方～,,テレビ東京,月曜23:58 - 翌0:45,手塚とおる,2015-01-01
マジすか学園4,学園ドラマ,日本テレビ,火曜0:59 - 1:29,宮脇咲良,2015-01-01
ゴーストライター,,フジテレビ,火曜21:00 - 21:54,中谷美紀,2015-01-01
まっしろ,医療ドラマ,TBS,火曜22:00 - 22:54,堀北真希,2015-01-01
銭の戦争,,関西テレビ,火曜22:00 - 22:54,草_剛,2015-01-01
全力離婚相談,,NHK,火曜22:00 - 22:48,真矢みき,2015-01-01
女くどき飯,,毎日放送,水曜1:11 - 1:41,貫地谷しほり,2015-01-01
相棒 season13,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2015-01-01
○○妻,恋愛ドラマ,日本テレビ,水曜22:00 - 23:00,柴咲コウ,2015-01-01
残念な夫。,,フジテレビ,水曜22:00 - 22:54,玉木宏,2015-01-01
出入禁止の女～事件記者クロガネ～,,テレビ朝日,木曜19:58 - 20:54,観月ありさ,2015-01-01
DOCTORS3 最強の名医,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,沢村一樹,2015-01-01
美しき罠～残花繚乱～,恋愛ドラマ,TBS,木曜21:00 - 21:54,田中麗奈,2015-01-01
問題のあるレストラン,グルメドラマ,フジテレビ,木曜22:00 - 22:54,真木よう子,2015-01-01
五つ星ツーリスト～最高の旅、ご案内します!!～,,読売テレビ,木曜23:59 - 翌0:54,渡辺直美,2015-01-01
保育探偵25時～花咲慎一郎は眠れない!!～,,テレビ東京,金曜19:58 - 20:54,山口智充,2015-01-01
ウロボロス～この愛こそ、正義。,警察ドラマ,TBS,金曜22:00 - 22:54,生田斗真,2015-01-01
セカンド・ラブ,恋愛ドラマ,テレビ朝日,金曜23:15 - 翌0:15,亀梨和也,2015-01-01
怪奇恋愛作戦,恋愛ドラマ,テレビ東京,土曜0:12 - 0:52,麻生久美子,2015-01-01
山田孝之の東京都北区赤羽,ドキュメンタリードラマ,テレビ東京,土曜0:52 - 1:23,山田孝之,2015-01-01
学校のカイダン,学園ドラマ,日本テレビ,土曜21:00 - 21:54,広瀬すず,2015-01-01
お兄ちゃん、ガチャ,,日本テレビ,日曜0:50 - 1:20,鈴木梨央,2015-01-01
流星ワゴン,,TBS,日曜21:00 - 21:54,西島秀俊,2015-01-01
ようこそ、わが家へ,,フジテレビ,月曜21:00 - 21:54,相葉雅紀,2015-04-01
美女と男子,,NHK,火曜22:00 - 22:48,仲間由紀恵,2015-04-01
マザー・ゲーム～彼女たちの階級～,ホームドラマ,TBS,火曜22:00 - 22:54,木村文乃,2015-04-01
戦う!書店ガール,,関西テレビ,火曜22:00 - 22:54,渡辺麻友,2015-04-01
REPLAY & DESTROY,,毎日放送,水曜1:11 - 1:41（火曜深夜）,山田孝之,2015-04-01
警視庁捜査一課9係 season10,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2015-04-01
Dr.倫太郎,医療ドラマ,日本テレビ,水曜22:00 - 23:00,堺雅人,2015-04-01
心がポキッとね,恋愛ドラマ,フジテレビ,水曜22:00 - 22:54,阿部サダヲ,2015-04-01
京都人情捜査ファイル,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,高橋克典,2015-04-01
アイムホーム,ホームドラマ,テレビ朝日,木曜21:00 - 21:54,木村拓哉,2015-04-01
ヤメゴク～ヤクザやめて頂きます～,刑事ドラマ,TBS,木曜21:00 - 21:54,大島優子,2015-04-01
医師たちの恋愛事情,医療ドラマ,フジテレビ,木曜22:00 - 22:54,斎藤工,2015-04-01
恋愛時代,恋愛ドラマ,読売テレビ,木曜23:59 - 翌0:54,比嘉愛未,2015-04-01
三匹のおっさん2～正義の味方、ふたたび!!～,,テレビ東京,金曜19:58 - 20:54,北大路欣也,2015-04-01
アルジャーノンに花束を,,TBS,金曜22:00 - 22:54,山下智久,2015-04-01
天使と悪魔-未解決事件匿名交渉課-,推理ドラマ,テレビ朝日,金曜23:15 - 翌0:15,剛力彩芽,2015-04-01
不便な便利屋,恋愛ドラマ,テレビ東京,土曜0:12 - 0:52,岡田将生,2015-04-01
ドS刑事,刑事ドラマ,日本テレビ,土曜21:00 - 21:54,多部未華子,2015-04-01
She,学園青春サスペンスドラマ,フジテレビ,土曜23:40 - 翌0:05,松岡茉優,2015-04-01
妄想彼女,,フジテレビ,土曜23:40 - 翌0:05,広瀬アリス,2015-04-01
ラーメン大好き小泉さん,グルメドラマ,フジテレビ,土曜23:40 - 翌0:05,早見あかり,2015-04-01
天皇の料理番,,TBS,日曜21:00 - 21:54,佐藤健,2015-04-01
ワイルド・ヒーローズ,,日本テレビ,日曜22:30 - 23:25,TAKAHIRO,2015-04-01
恋仲,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,福士蒼汰,2015-07-01
マジすか学園5,学園ドラマ,日本テレビ,火曜0:59 - 1:59,島崎遥香,2015-07-01
ホテルコンシェルジュ,,TBS,火曜22:00 - 22:54,西内まりや,2015-07-01
HEAT,,関西テレビ,火曜22:00 - 22:54,AKIRA,2015-07-01
シメシ,グルメドラマ,毎日放送,水曜1:11 - 1:41（火曜深夜）,村上淳,2015-07-01
となりの関くんとるみちゃんの事象,学園コメディドラマ,毎日放送,水曜1:11 - 1:41（火曜深夜）,となりの関くん：渡辺佑太朗,2015-07-01
JKは雪女,恋愛コメディドラマ,毎日放送,水曜1:11 - 1:41（火曜深夜）,平祐奈,2015-07-01
刑事7人,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,東山紀之,2015-07-01
花咲舞が黙ってない 2,オフィスドラマ,日本テレビ,水曜22:00 - 23:00,杏,2015-07-01
リスクの神様,サスペンスドラマ,フジテレビ,水曜22:00 - 22:54,堤真一,2015-07-01
最強のふたり～京都府警 特別捜査班～,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,橋爪功,2015-07-01
エイジハラスメント,オフィスドラマ,テレビ朝日,木曜21:00 - 21:54,武井咲,2015-07-01
37.5℃の涙,ヒューマンドラマ,TBS,木曜21:00 - 21:54,蓮佛美沙子,2015-07-01
探偵の探偵,推理ドラマ,フジテレビ,木曜22:00 - 22:54,北川景子,2015-07-01
婚活刑事,刑事ドラマ,読売テレビ,木曜23:59 - 翌0:54,伊藤歩,2015-07-01
僕らプレイボーイズ 熟年探偵社,推理ドラマ,テレビ東京,金曜19:58 - 20:54,高橋克実,2015-07-01
表参道高校合唱部!,学園ドラマ,TBS,金曜22:00 - 22:54,芳根京子,2015-07-01
民王,政治コメディドラマ,テレビ朝日,金曜23:15 - 翌0:15,遠藤憲一,2015-07-01
初森ベマーズ,スポーツドラマ,テレビ東京,土曜0:12 - 0:52,乃木坂46,2015-07-01
ど根性ガエル,人間ドラマ,日本テレビ,土曜21:00 - 21:54,松山ケンイチ,2015-07-01
ブスと野獣,恋愛ドラマ,フジテレビ,土曜23:40 - 翌0:05,矢本悠馬,2015-07-01
ナポレオンの村,,TBS,日曜21:00 - 21:54,唐沢寿明,2015-07-01
デスノート,サスペンスドラマ,日本テレビ,日曜22:30 - 23:25,窪田正孝,2015-07-01
5→9～私に恋したお坊さん～,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,石原さとみ,2015-10-01
結婚式の前日に,人間ドラマ,TBS,火曜22:00 - 22:54,香里奈,2015-10-01
サイレーン 刑事×彼女×完全悪女,刑事ドラマ,関西テレビ,火曜22:00 - 22:54,松坂桃李,2015-10-01
監獄学園 -プリズンスクール-,学園ドラマ,毎日放送,水曜1:11 - 1:41（火曜深夜）,中川大志,2015-10-01
相棒season14,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2015-10-01
偽装の夫婦,ホームドラマ,日本テレビ,水曜22:00 - 23:00,天海祐希,2015-10-01
無痛～診える眼～,医療ドラマ,フジテレビ,水曜22:00 - 22:54,西島秀俊,2015-10-01
おかしの家,ヒューマンドラマ,TBS,水曜23:53 - 翌0:23,オダギリジョー,2015-10-01
HiGH&LOW～THE STORY OF S.W.O.R.D.～,アクションドラマ,日本テレビ,木曜1:29 - 1:59（水曜深夜）,,2015-10-01
AKBホラーナイト アドレナリンの夜,ホラードラマ,テレビ朝日,木曜1:41 - 1:56（水曜深夜）,,2015-10-01
科捜研の女（第15シリーズ）,警察ドラマ,テレビ朝日,木曜20:00 - 20:54,沢口靖子,2015-10-01
遺産争族,ホームドラマ,テレビ朝日,木曜21:00 - 21:54,向井理,2015-10-01
オトナ女子,恋愛ドラマ,フジテレビ,木曜22:00 - 22:54,篠原涼子,2015-10-01
青春探偵ハルヤ～大人の悪を許さない!～,推理ドラマ,読売テレビ,木曜23:59 - 翌0:54,玉森裕太,2015-10-01
釣りバカ日誌～新入社員 浜崎伝助～,サラリーマンドラマ,テレビ東京,金曜20:00 - 20:54,濱田岳,2015-10-01
コウノドリ,医療ドラマ,TBS,金曜22:00 - 22:54,綾野剛,2015-10-01
サムライせんせい,コメディドラマ,テレビ朝日,金曜23:15 - 翌0:15,錦戸亮,2015-10-01
孤独のグルメ Season5,グルメドラマ,テレビ東京,土曜0:12 - 0:52（金曜深夜）,松重豊,2015-10-01
馬子先輩の言う通り,競馬ドラマ,フジテレビ,土曜0:40 - 1:10（金曜深夜）,大野いと,2015-10-01
掟上今日子の備忘録,推理ドラマ,日本テレビ,土曜21:00 - 21:54,新垣結衣,2015-10-01
テディ・ゴー!,推理ドラマ,フジテレビ,土曜23:40 - 翌0:05,森川葵,2015-10-01
トランジットガールズ,ガールズラブドラマ,フジテレビ,土曜23:40 - 翌0:05,伊藤沙莉佐久間由衣,2015-10-01
いつかティファニーで朝食を,グルメドラマ,日本テレビ,日曜1:25 - 1:55（土曜深夜）,トリンドル玲奈,2015-10-01
下町ロケット,企業ドラマ,TBS,日曜21:00 - 21:54,阿部寛,2015-10-01
エンジェル・ハート,アクションドラマ,日本テレビ,日曜22:30 - 23:25,上川隆也,2015-10-01
いつかこの恋を思い出してきっと泣いてしまう,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,有村架純,2016-01-01
愛おしくて,恋愛ドラマ,NHK,火曜22:00 - 22:48,田中麗奈,2016-01-01
ダメな私に恋してください,恋愛ドラマ,TBS,火曜22:00 - 22:54,深田恭子,2016-01-01
お義父さんと呼ばせて,ホームドラマ,関西テレビ,火曜22:00 - 22:54,遠藤憲一,2016-01-01
女くどき飯Season2,グルメドラマ,毎日放送,水曜1:11 - 1:41（火曜深夜）,貫地谷しほり,2016-01-01
神奈川県厚木市 ランドリー茅ヶ崎,コメディドラマ,毎日放送,水曜1:11 - 1:41（火曜深夜）,松井玲奈,2016-01-01
ヒガンバナ～警視庁捜査七課～,刑事ドラマ,日本テレビ,水曜22:00 - 23:00,堀北真希,2016-01-01
フラジャイル,医療ドラマ,フジテレビ,水曜22:00 - 22:54,長瀬智也,2016-01-01
悪党たちは千里を走る,サスペンスドラマ,TBS,水曜23:53 - 翌0:23,ムロツヨシ,2016-01-01
スペシャリスト,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,草_剛,2016-01-01
ナオミとカナコ,サスペンスドラマ,フジテレビ,木曜22:00 - 22:54,広末涼子,2016-01-01
マネーの天使～あなたのお金、取り戻します!～,経済ドラマ,読売テレビ,木曜23:59 - 翌0:54,小籔千豊,2016-01-01
警視庁ゼロ係～生活安全課なんでも相談室～,警察ドラマ,テレビ東京,金曜20:00 - 20:54,小泉孝太郎,2016-01-01
わたしを離さないで,サスペンスドラマ,TBS,金曜22:00 - 22:54,綾瀬はるか,2016-01-01
スミカスミレ,ファンタジー・ラブストーリー,テレビ朝日,金曜23:15 - 翌0:15,桐谷美玲,2016-01-01
東京センチメンタル,ヒューマンドラマ,テレビ東京,土曜0:12 - 0:52(金曜深夜),吉田鋼太郎,2016-01-01
怪盗 山猫,サスペンスドラマ,日本テレビ,土曜21:00 - 21:54,亀梨和也,2016-01-01
逃げる女,サスペンスドラマ,NHK,土曜22:00 - 22:44,水野美紀,2016-01-01
武道館,業界ドラマ,フジテレビ,土曜23:40 - 翌0:05,Juice=Juice,2016-01-01
MARS～ただ、君を愛してる～,ラブストーリー,日本テレビ,日曜0:55 - 1:25(土曜深夜),藤ヶ谷太輔,2016-01-01
ニーチェ先生,学園ドラマ,読売テレビ,日曜2:55 - 3:25（土曜深夜）,間宮祥太朗,2016-01-01
家族ノカタチ,ホームドラマ,TBS,日曜21:00 - 21:54,香取慎吾,2016-01-01
臨床犯罪学者 火村英生の推理,推理ドラマ,日本テレビ,日曜22:30 - 23:25,斎藤工,2016-01-01
ラヴソング,ラブストーリー,フジテレビ,月曜21:00 - 21:54,福山雅治,2016-04-01
重版出来!,オフィスドラマ,TBS,火曜22:00 - 22:54,黒木華,2016-04-01
僕のヤバイ妻,サスペンスドラマ,関西テレビ,火曜22:00 - 22:54,伊藤英明,2016-04-01
ディアスポリス 異邦警察,刑事ドラマ,毎日放送,水曜1:28 - 1:58（火曜深夜）,松田翔太,2016-04-01
OLですが、キャバ嬢はじめました,オフィスドラマ,毎日放送,水曜1:28 - 1:58（火曜深夜）,倉持明日香,2016-04-01
警視庁捜査一課9係season11,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2016-04-01
世界一難しい恋,ラブストーリー,日本テレビ,水曜22:00 - 23:00,大野智,2016-04-01
毒島ゆり子のせきらら日記,ラブストーリー,TBS,木曜0:10 - 0:40（水曜深夜）,前田敦子,2016-04-01
警視庁・捜査一課長,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,内藤剛志,2016-04-01
グッドパートナー 無敵の弁護士,弁護士ドラマ,テレビ朝日,木曜21:00 - 21:54,竹野内豊,2016-04-01
早子先生、結婚するって本当ですか?,学園ドラマ,フジテレビ,木曜22:00 - 22:54,松下奈緒,2016-04-01
ドクターカー,医療ドラマ,読売テレビ,木曜23:59 - 翌0:54,剛力彩芽,2016-04-01
ドクター調査班～医療事故の闇を暴け～,医療ドラマ,テレビ東京,金曜20:00 - 20:54,谷原章介,2016-04-01
コントレール～罪と恋～,サスペンスドラマ,NHK,金曜22:00 - 22:49,石田ゆり子,2016-04-01
私 結婚できないんじゃなくて、しないんです,ラブストーリー,TBS,金曜22:00 - 22:54,中谷美紀,2016-04-01
不機嫌な果実,ラブストーリー,テレビ朝日,金曜23:15 - 翌0:15,栗山千明,2016-04-01
ナイトヒーロー NAOTO,アクションドラマ,テレビ東京,土曜0:12 - 0:52（金曜深夜）,NAOTO,2016-04-01
トットてれび,職業ドラマ,NHK総合,土曜20:15 - 21:43,満島ひかり,2016-04-01
お迎えデス。,ラブストーリー,日本テレビ,土曜21:00 - 21:54,福士蒼汰,2016-04-01
火の粉,サスペンスドラマ,東海テレビ,土曜23:40 - 翌0:35,ユースケ・サンタマリア,2016-04-01
朝が来る,ヒューマンドラマ,東海テレビ,土曜23:40 - 翌0:35,安田成美,2016-04-01
昼のセント酒,サラリーマンドラマ,テレビ東京,日曜0:20 - 0:50（土曜深夜）,戸次重幸,2016-04-01
HiGH&LOW Season2,アクションドラマ,日本テレビ,日曜0:55 - 1:25（土曜深夜）,,2016-04-01
99.9 -刑事専門弁護士-,弁護士ドラマ,TBS,日曜21:00 - 21:54,松本潤,2016-04-01
OUR HOUSE,ホームドラマ,フジテレビ,日曜21:00 - 21:54,芦田愛菜,2016-04-01
ゆとりですがなにか,ヒューマンドラマ,日本テレビ,日曜22:30 - 23:25,岡田将生,2016-04-01
好きな人がいること,ラブストーリー,フジテレビ,月曜21:00 - 21:54,桐谷美玲,2016-07-01
せいせいするほど、愛してる,ラブストーリー,TBS,火曜22:00 - 22:54,武井咲,2016-07-01
ON 異常犯罪捜査官・藤堂比奈子,刑事ドラマ,関西テレビ,火曜22:00 - 22:54,波瑠,2016-07-01
闇金ウシジマくん Season3,金融ドラマ,毎日放送,水曜1:28 - 1:58（火曜深夜）,山田孝之,2016-07-01
刑事7人season2,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,東山紀之,2016-07-01
家売るオンナ,オフィスドラマ,日本テレビ,水曜22:00 - 23:00,北川景子,2016-07-01
死幣-DEATH CASH-,ホラードラマ,TBS,木曜0:10 - 0:40（水曜深夜）,松井珠理奈,2016-07-01
女たちの特捜最前線,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,高島礼子,2016-07-01
はじめまして、愛しています。,ホームドラマ,テレビ朝日,木曜21:00 - 21:54,尾野真千子,2016-07-01
営業部長 吉良奈津子,オフィスドラマ,フジテレビ,木曜22:00 - 22:54,松嶋菜々子,2016-07-01
遺産相続弁護士 柿崎真一,弁護士ドラマ,読売テレビ,木曜23:59 - 翌0:54,三上博史,2016-07-01
ヤッさん～築地発!おいしい事件簿～,グルメ・推理,テレビ東京,金曜20:00 - 20:54,伊原剛志,2016-07-01
神の舌を持つ男,推理ドラマ,TBS,金曜22:00 - 22:54,向井理,2016-07-01
グ・ラ・メ!～総理の料理番～,料理ドラマ,テレビ朝日,金曜23:15 - 翌0:15,剛力彩芽,2016-07-01
時をかける少女,ファンタジードラマ,日本テレビ,土曜21:00 - 21:54,黒島結菜,2016-07-01
ノンママ白書,ラブストーリー,東海テレビ,土曜23:40 - 翌0:35,鈴木保奈美,2016-07-01
徳山大五郎を誰が殺したか?,学園サスペンスドラマ,テレビ東京,日曜0:20 - 0:50（土曜深夜）,欅坂46,2016-07-01
仰げば尊し,学園ドラマ,TBS,日曜21:00 - 21:54,寺尾聰,2016-07-01
HOPE～期待ゼロの新入社員～,オフィスドラマ,フジテレビ,日曜21:00 - 21:54,中島裕翔,2016-07-01
そして、誰もいなくなった,サスペンスドラマ,日本テレビ,日曜22:30 - 23:25,藤原竜也,2016-07-01
カインとアベル,ラブストーリー,フジテレビ,月曜21:00 - 21:54,山田涼介,2016-10-01
メディカルチーム レディ・ダ・ヴィンチの診断,医療サスペンス,関西テレビ,火曜21:00 - 21:54,吉田羊,2016-10-01
逃げるは恥だが役に立つ,ラブストーリー,TBS,火曜22:00 - 22:54,新垣結衣,2016-10-01
相棒season15,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2016-10-01
地味にスゴイ! 校閲ガール・河野悦子,オフィスドラマ,日本テレビ,水曜22:00 - 23:00,石原さとみ,2016-10-01
コック警部の晩餐会,刑事ドラマ,TBS,木曜0:10 - 0:40（水曜深夜）,柄本佑,2016-10-01
科捜研の女season16,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,沢口靖子,2016-10-01
ドクターX～外科医・大門未知子～（第4シリーズ）,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,米倉涼子,2016-10-01
Chef～三ツ星の給食～,料理ドラマ,フジテレビ,木曜22:00 - 22:54,天海祐希,2016-10-01
黒い十人の女,不倫ドラマ,読売テレビ,木曜23:59 - 翌0:54,船越英一郎,2016-10-01
砂の塔～知りすぎた隣人,サスペンスドラマ,TBS,金曜22:00 - 22:54,菅野美穂,2016-10-01
家政夫のミタゾノ,ホームドラマ,テレビ朝日,金曜23:15 - 翌0:15,松岡昌宏,2016-10-01
THE LAST COP/ラストコップ,刑事ドラマ,日本テレビ,土曜21:00 - 21:54,唐沢寿明,2016-10-01
スニッファー 嗅覚捜査官,ミステリードラマ,NHK,土曜22:00 - 22:44,阿部寛,2016-10-01
とげ 小市民 倉永晴之の逆襲,ヒューマンドラマ,東海テレビ,土曜23:40 - 翌0:35,田辺誠一,2016-10-01
IQ246～華麗なる事件簿～,探偵ドラマ,TBS,日曜21:00 - 21:54,織田裕二,2016-10-01
キャリア～掟破りの警察署長～,警察ドラマ,フジテレビ,日曜21:00 - 21:54,玉木宏,2016-10-01
レンタル救世主,オフィスドラマ,日本テレビ,日曜22:30 - 23:25,沢村一樹,2016-10-01
突然ですが、明日結婚します,ラブストーリー,フジテレビ,月曜21:00 - 21:54,西内まりや,2017-01-01
嘘の戦争,サスペンスドラマ,関西テレビ,火曜21:00 - 21:54,草_剛,2017-01-01
カルテット,ラブストーリー,TBS,火曜22:00 - 22:54,松たか子,2017-01-01
東京タラレバ娘,ラブストーリー,日本テレビ,水曜22:00 - 23:00,吉高由里子,2017-01-01
レンタルの恋,ラブストーリー,TBS,木曜0:10 - 0:40（水曜深夜）,剛力彩芽,2017-01-01
就活家族～きっと、うまくいく～,ホームドラマ,テレビ朝日,木曜21:00 - 21:54,三浦友和,2017-01-01
嫌われる勇気,刑事ドラマ,フジテレビ,木曜22:00 - 22:54,香里奈,2017-01-01
増山超能力師事務所,アクションドラマ,読売テレビ,木曜23:59 - 翌0:54,田中直樹,2017-01-01
三匹のおっさん3 ～正義の味方、みたび!!～,ヒューマンドラマ,テレビ東京,金曜20:00 - 20:54,北大路欣也,2017-01-01
下剋上受験,ホームドラマ,TBS,金曜22:00 - 22:54,阿部サダヲ,2017-01-01
奪い愛、冬,ラブストーリー,テレビ朝日,金曜23:15 - 翌0:15,倉科カナ,2017-01-01
スーパーサラリーマン左江内氏,ホームドラマ,日本テレビ,土曜21:00 - 21:54,堤真一,2017-01-01
真昼の悪魔,サスペンスドラマ,東海テレビ,土曜23:40 - 翌0:35,田中麗奈,2017-01-01
銀と金,サスペンスドラマ,テレビ東京,日曜0:20 - 0:50（土曜深夜）,池松壮亮,2017-01-01
A LIFE～愛しき人～,医療ドラマ,TBS,日曜21:00 - 21:54,木村拓哉,2017-01-01
視覚探偵 日暮旅人,推理ドラマ,日本テレビ,日曜22:30 - 23:25,松坂桃李,2017-01-01
サヨナラ、えなりくん,ラブストーリー,テレビ朝日,月曜0:40 - 1:10（日曜深夜）,渡辺麻友,2017-04-01
貴族探偵,推理ドラマ,フジテレビ,月曜21:00 - 21:54,相葉雅紀,2017-04-01
岐阜にイジュー!,ヒューマンドラマ,メ～テレ,火曜0:20-0:50（月曜深夜）,柳英里紗,2017-04-01
CRISIS 公安機動捜査隊特捜班,刑事ドラマ,関西テレビ,火曜21:00 - 21:54,小栗旬,2017-04-01
あなたのことはそれほど,ラブストーリー,TBS,火曜22:00 - 22:54,波瑠,2017-04-01
警視庁捜査一課9係season12,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2017-04-01
母になる,ヒューマンドラマ,日本テレビ,水曜22:00 - 23:00,沢尻エリカ,2017-04-01
3人のパパ,ホームドラマ,TBS,水曜23:55 - 翌0:25,堀井新太,2017-04-01
警視庁・捜査一課長season2,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,内藤剛志,2017-04-01
緊急取調室（第2シリーズ）,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,天海祐希,2017-04-01
人は見た目が100パーセント,職業ドラマ,フジテレビ,木曜22:00 - 22:54,桐谷美玲,2017-04-01
恋がヘタでも生きてます,ラブストーリー,読売テレビ,木曜23:59 - 翌0:54,高梨臨,2017-04-01
釣りバカ日誌 Season2 新米社員 浜崎伝助,サラリーマンドラマ,テレビ東京,金曜20:00 - 20:54,濱田岳,2017-04-01
リバース,サスペンスドラマ,TBS,金曜22:00 - 22:54,藤原竜也,2017-04-01
女囚セブン,ヒューマンドラマ,テレビ朝日,金曜23:15 - 翌0:15,剛力彩芽,2017-04-01
ボク、運命の人です。,ラブストーリー,日本テレビ,土曜22:00 - 22:54,亀梨和也,2017-04-01
犯罪症候群SEASON1,刑事ドラマ,東海テレビ,土曜23:40 - 翌0:35,玉山鉄二,2017-04-01
屋根裏の恋人,サスペンスドラマ,東海テレビ,土曜23:40 - 翌0:35,石田ひかり,2017-04-01
マッサージ探偵ジョー,推理ドラマ,テレビ東京,日曜0:20 - 0:50（土曜深夜）,中丸雄一,2017-04-01
小さな巨人,警察ドラマ,TBS,日曜21:00 - 21:54,長谷川博己,2017-04-01
櫻子さんの足下には死体が埋まっている,推理ドラマ,フジテレビ,日曜21:00 - 21:54,観月ありさ,2017-04-01
フランケンシュタインの恋,サスペンスドラマ,日本テレビ,日曜22:30 - 23:25,綾野剛,2017-04-01
サチのお寺ごはん,グルメドラマ,2017「サチのお寺ごはん」製作委員会,参照,谷村美月,2017-07-01
コード・ブルー -ドクターヘリ緊急救命- 3rd season,医療ドラマ,フジテレビ,月曜21:00 - 21:54,山下智久,2017-07-01
孤食ロボット,,日本テレビ,火曜0:59 - 1:29,有岡大貴、高木雄也、八乙女光,2017-07-01
僕たちがやりました,サスペンスドラマ,関西テレビ,火曜21:00 - 21:54,窪田正孝,2017-07-01
カンナさーん!,ホームドラマ,TBS,火曜22:00 - 22:54,渡辺直美,2017-07-01
刑事7人season3,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,東山紀之,2017-07-01
過保護のカホコ,ラブストーリー,日本テレビ,水曜22:00 - 23:00,高畑充希,2017-07-01
わにとかげぎす,コメディドラマ,TBS,水曜23:56 - 翌0:26,有田哲平,2017-07-01
遺留捜査（第4シリーズ）,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,上川隆也,2017-07-01
黒革の手帖,サスペンスドラマ,テレビ朝日,木曜21:00 - 21:54,武井咲,2017-07-01
セシルのもくろみ,ヒューマンドラマ,フジテレビ,木曜22:00 - 22:54,真木よう子,2017-07-01
脳にスマホが埋められた!,ヒューマンドラマ,読売テレビ,木曜23:59 - 翌0:54,伊藤淳史,2017-07-01
警視庁ゼロ係～生活安全課なんでも相談室～SECOND SEASON,刑事ドラマ,テレビ東京,金曜20:00 - 20:54,小泉孝太郎,2017-07-01
ハロー張りネズミ,推理ドラマ,TBS,金曜22:00 - 22:54,瑛太,2017-07-01
あいの結婚相談所,ラブストーリー,テレビ朝日,金曜23:15 - 翌0:15,山崎育三郎,2017-07-01
ウチの夫は仕事ができない,ホームドラマ,日本テレビ,土曜22:00 - 22:54,錦戸亮,2017-07-01
ウツボカズラの夢,ヒューマンドラマ,東海テレビ,土曜23:40 - 翌0:35,志田未来,2017-07-01
居酒屋ふじ,グルメドラマ,テレビ東京,日曜0:20 - 0:50（土曜深夜）,永山絢斗,2017-07-01
ごめん、愛してる,ラブストーリー,TBS,日曜21:00 - 21:54,長瀬智也,2017-07-01
警視庁いきもの係,刑事ドラマ,フジテレビ,日曜21:00 - 21:54,渡部篤郎,2017-07-01
愛してたって、秘密はある。,ラブストーリー,日本テレビ,日曜22:30 - 23:25,福士蒼汰,2017-07-01
民衆の敵～世の中、おかしくないですか!?～,政治ドラマ,フジテレビ,月曜21:00 - 21:54,篠原涼子,2017-10-01
吾輩の部屋である,,日本テレビ,火曜0:59 - 1:29,菊池風磨,2017-10-01
