drama_title,drama_category,,,main_actor,start_at
検事・鬼島平八郎,検事ドラマ,テレビ朝日,金曜21:00 - 21:54,浜田雅功,2010-10-01
SPEC～警視庁公安部公安第五課 未詳事件特別対策係事件簿～,刑事ミステリー,TBS,金曜22:00 - 22:54,戸田恵梨香,2010-10-01
秘密,ヒューマンミステリー,テレビ朝日,金曜23:15 - 翌0:15,志田未来,2010-10-01
クローン ベイビー,SFサスペンス,TBS,土曜0:20 - 0:50,市川知宏,2010-10-01
嬢王3 ～Special Edition～,人間ドラマ,テレビ東京,土曜0:12 - 0:53,原幹恵,2010-10-01
Q10,SF人間ドラマ,日本テレビ,土曜21:00 - 21:54,佐藤健,2010-10-01
龍馬伝,大河ドラマ,NHK,日曜20:00 - 20:45,福山雅治,2010-10-01
獣医ドリトル,医療ドラマ,TBS,日曜21:00 - 21:54,小栗旬,2010-10-01
パーフェクト・リポート,社会派ドラマ,フジテレビ,日曜21:00 - 21:54,松雪泰子,2010-10-01
霊能力者 小田霧響子の嘘,コメディーミステリー,テレビ朝日,日曜23:00 - 23:55,石原さとみ,2010-10-01
大切なことはすべて君が教えてくれた,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,戸田恵梨香,2011-01-01
最上の命医,医療アクション,テレビ東京,月曜22:00 - 22:54,斎藤工,2011-01-01
CONTROL～犯罪心理捜査～,刑事ドラマ,フジテレビ,火曜21:00 - 21:54,松下奈緒,2011-01-01
フェイク 京都美術事件絵巻,推理ドラマ,NHK,火曜22:00 - 22:43,財前直見,2011-01-01
四十九日のレシピ,ホームドラマ,NHK,火曜22:00 - 22:43,和久井映見,2011-01-01
美しい隣人,サスペンスドラマ,関西テレビ,火曜22:00 - 22:54,仲間由紀恵,2011-01-01
カルテット,犯罪ドラマ,TBS,水曜0:55 - 1:25,福田沙紀,2011-01-01
臨死!!江古田ちゃん,コメディドラマ,日本テレビ,水曜1:29 - 1:44,鳥居みゆき,2011-01-01
相棒 Season 9,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2011-01-01
美咲ナンバーワン!!,学園ドラマ,日本テレビ,水曜22:00 - 22:54,香里奈,2011-01-01
ホンボシ～心理特捜事件簿～,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,船越英一郎,2011-01-01
渡る世間は鬼ばかり（最終シリーズ）,ホームドラマ,TBS,木曜21:00 - 21:54,泉ピン子,2011-01-01
告発～国選弁護人,法廷もの,テレビ朝日,木曜21:00 - 21:54,田村正和,2011-01-01
外交官 黒田康作,サスペンスドラマ,フジテレビ,木曜22:00 - 22:54,織田裕二,2011-01-01
示談交渉人 ゴタ消し,犯罪ドラマ,日本テレビ,木曜23:58 - 翌0:38,西野亮廣,2011-01-01
恋する日本語,人間ドラマ,NHK,金曜0:15 - 0:45,余貴美子,2011-01-01
悪党～重犯罪捜査班,刑事ドラマ,テレビ朝日,金曜21:00 - 21:54,高橋克典,2011-01-01
LADY～最後の犯罪プロファイル～,刑事ドラマ,TBS,金曜22:00 - 22:54,北川景子,2011-01-01
バーテンダー,グルメドラマ,テレビ朝日,金曜23:15 - 翌0:15,相葉雅紀,2011-01-01
URAKARA,パロディドラマ,テレビ東京,土曜0:12 - 0:53,KARA,2011-01-01
ヘブンズ・フラワー,ロマンチックミステリー,TBS,土曜0:20 - 0:50,川島海荷,2011-01-01
隠密八百八町,時代劇,NHK,土曜19:30 - 20:00,舘ひろし,2011-01-01
TAROの塔,伝記ドラマ,NHK,土曜21:00 - 21:53,松尾スズキ,2011-01-01
デカワンコ,刑事ドラマ,日本テレビ,土曜21:00 - 21:54,多部未華子,2011-01-01
江～姫たちの戦国～,大河ドラマ,NHK,日曜20:00 - 20:45,上野樹里,2011-01-01
冬のサクラ,恋愛ドラマ,TBS,日曜21:00 - 21:54,草_剛,2011-01-01
スクール!!,学園ドラマ,フジテレビ,日曜21:00 - 21:54,江口洋介,2011-01-01
Dr.伊良部一郎,医療ドラマ,テレビ朝日,日曜23:00 - 23:55,徳重聡,2011-01-01
ハンチョウ～神南署安積班（シリーズ4）,刑事ドラマ,TBS,月曜20:00 - 20:54,佐々木蔵之介,2011-04-01
幸せになろうよ,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,香取慎吾,2011-04-01
鈴木先生,学園ドラマ,テレビ東京,月曜22:00 - 22:54,長谷川博己,2011-04-01
名前をなくした女神,社会派ドラマ,フジテレビ,火曜21:00 - 21:54,杏,2011-04-01
マドンナ・ヴェルデ～娘のために産むこと～,医療ミステリー,NHK,火曜22:00 - 22:50,松坂慶子,2011-04-01
下流の宴,ホームドラマ,NHK,火曜22:00 - 22:50,黒木瞳,2011-04-01
グッドライフ～ありがとう、パパ。さよなら～,ホームドラマ,関西テレビ,火曜22:00 - 22:54,反町隆史,2011-04-01
マッスルガール!,スポーツコメディ,毎日放送,水曜0:55 - 1:25,市川由衣,2011-04-01
遺留捜査,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,上川隆也,2011-04-01
リバウンド,恋愛コメディ,日本テレビ,水曜22:00 - 22:54,相武紗季,2011-04-01
おみやさん（第8シリーズ）,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,渡瀬恒彦,2011-04-01
渡る世間は鬼ばかり（最終シリーズ）,ホームドラマ,TBS,木曜21:00 - 21:54,泉ピン子,2011-04-01
ハガネの女 Season 2,学園ドラマ,テレビ朝日,木曜21:00 - 21:54,吉瀬美智子,2011-04-01
BOSS（2ndシーズン）,刑事ドラマ,フジテレビ,木曜22:00 - 22:54,天海祐希,2011-04-01
四つ葉神社ウラ稼業 失恋保険～告らせ屋～,恋愛ドラマ,読売テレビ,木曜23:58 - 翌0:38,城田優,2011-04-01
生まれる。,ホームドラマ,TBS,金曜22:00 - 22:54,堀北真希,2011-04-01
犬を飼うということ～スカイと我が家の180日～,ホームドラマ,テレビ朝日,金曜23:15 - 翌0:15,錦戸亮,2011-04-01
マジすか学園2,学園ドラマ,テレビ東京,土曜0:12 - 0:53,前田敦子,2011-04-01
シマシマ,人間ドラマ,TBS,土曜0:20 - 0:50,矢田亜希子,2011-04-01
高校生レストラン,料理ドラマ,日本テレビ,土曜21:00 - 21:54,松岡昌宏,2011-04-01
江～姫たちの戦国～,大河ドラマ,NHK,日曜20:00 - 20:45,上野樹里,2011-04-01
JIN-仁-（完結編）,医療ドラマ,TBS,日曜21:00 - 21:54,大沢たかお,2011-04-01
マルモのおきて,ホームドラマ,フジテレビ,日曜21:00 - 21:54,阿部サダヲ,2011-04-01
アスコーマーチ!～県立明日香工業高校行進曲～,学園ドラマ,テレビ朝日,日曜23:00 - 23:55,武井咲,2011-04-01
全開ガール,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,新垣結衣,2011-07-01
IS～男でも女でもない性～,ヒューマンドラマ,テレビ東京,月曜22:00 - 22:54,福田沙紀,2011-07-01
ピースボート -Piece Vote-,犯罪サスペンス,日本テレビ,月曜23:58 - 翌0:29,濱田岳,2011-07-01
絶対零度～特殊犯罪潜入捜査～,刑事ドラマ,フジテレビ,火曜21:00 - 21:54,上戸彩,2011-07-01
チームバチスタ3 アリアドネの弾丸,医療ミステリー,関西テレビ,火曜22:00 - 22:54,伊藤淳史,2011-07-01
胡桃の部屋,ホームドラマ,NHK,火曜22:00 - 22:48,松下奈緒,2011-07-01
荒川アンダー ザ ブリッジ,コメディドラマ,毎日放送,水曜0:55 - 1:25,林遣都,2011-07-01
新・警視庁捜査一課9係 Season 3,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2011-07-01
ブルドクター,医療ミステリー,日本テレビ,水曜22:00 - 22:54,江角マキコ,2011-07-01
ろくでなしBLUES,学園スポーツ,日本テレビ,木曜0:59 - 1:29,青柳翔,2011-07-01
京都地検の女 第7シリーズ,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,名取裕子,2011-07-01
陽はまた昇る,学園ドラマ,テレビ朝日,木曜21:00 - 21:54,佐藤浩市,2011-07-01
渡る世間は鬼ばかり（最終シリーズ）,ホームドラマ,TBS,木曜21:00 - 21:54,泉ピン子,2011-07-01
それでも、生きてゆく,ヒューマンドラマ,フジテレビ,木曜22:00 - 22:54,瑛太,2011-07-01
名探偵コナン 工藤新一への挑戦状,推理ドラマ,読売テレビ,木曜23:58 - 翌0:38,溝端淳平,2011-07-01
美男（イケメン）ですね,音楽コメディ,TBS,金曜22:00 - 22:54,瀧本美織,2011-07-01
ジウ 警視庁特殊犯捜査係,刑事ドラマ,テレビ朝日,金曜23:15 - 翌0:15,黒木メイサ,2011-07-01
勇者ヨシヒコと魔王の城,冒険コメディ,テレビ東京,土曜0:12 - 0:53,山田孝之,2011-07-01
桜蘭高校ホスト部,学園コメディ,TBS,土曜0:20 - 0:50,川口春奈,2011-07-01
ドン★キホーテ,コメディヒューマン,日本テレビ,土曜21:00 - 21:54,松田翔太,2011-07-01
金魚倶楽部,ケータイ発ドラマ,NHK,土曜23:30 - 24:00,入江甚儀,2011-07-01
江～姫たちの戦国～,大河ドラマ,NHK,日曜20:00 - 20:45,上野樹里,2011-07-01
華和家の四姉妹,ホームドラマ,TBS,日曜21:00 - 21:54,観月ありさ,2011-07-01
花ざかりの君たちへ イケメン☆パラダイス 2011,学園コメディ,フジテレビ,日曜21:00 - 21:54,前田敦子,2011-07-01
バラ色の聖戦,ヒューマンドラマ,テレビ朝日,日曜23:00 - 23:55,吹石一恵,2011-07-01
私が恋愛できない理由,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,香里奈,2011-10-01
謎解きはディナーのあとで,コメディーミステリー,フジテレビ,火曜21:00 - 21:54,櫻井翔,2011-10-01
HUNTER ～ハンターその女たち、賞金稼ぎ～,アクションドラマ,関西テレビ,火曜22:00 - 22:54,米倉涼子,2011-10-01
ラストマネー -愛の値段-,経済ドラマ,NHK,火曜22:00 - 22:48,伊藤英明,2011-10-01
ビターシュガー,恋愛ドラマ,NHK,火曜22:55 - 23:24,りょう,2011-10-01
深夜食堂2,料理ドラマ,毎日放送,水曜0:55 - 1:25,小林薫,2011-10-01
相棒 season10,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2011-10-01
家政婦のミタ,ホームサスペンス,日本テレビ,水曜22:00 - 22:54,松嶋菜々子,2011-10-01
QP,犯罪ドラマ,日本テレビ,木曜0:59 - 1:29,斎藤工,2011-10-01
科捜研の女 第11シリーズ,サスペンスドラマ,テレビ朝日,木曜20:00 - 20:54,沢口靖子,2011-10-01
DOCTORS～最強の名医～,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,沢村一樹,2011-10-01
ランナウェイ～愛する君のために,逃亡サスペンス,TBS,木曜21:00 - 21:54,市原隼人,2011-10-01
蜜の味～A Taste Of Honey～,恋愛ドラマ,フジテレビ,木曜22:00 - 22:54,榮倉奈々,2011-10-01
秘密諜報員 エリカ,スパイドラマ,読売テレビ,木曜23:58 - 翌0:38,栗山千明,2011-10-01
専業主婦探偵～私はシャドウ,推理ドラマ,TBS,金曜22:00 - 22:54,深田恭子,2011-10-01
11人もいる!,ホームドラマ,テレビ朝日,金曜23:15 - 翌0:15,神木隆之介,2011-10-01
ここが噂のエル・パラシオ,スポーツドラマ,テレビ東京,土曜0:12 - 0:53,武田航平,2011-10-01
