,drama_title,Episode1,Episode2,Episode3,Episode4,Episode5,Episode6,Episode7,Episode8,Episode9,Episode10,Episode11,Episode12,Episode13,Episode14,Episode15,average,suii,start_at,drama_key,main_actor1,main_actor2,original_work,pre_part,part_count,actor_actress_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,2016_1,2017_1,2018_1,2019_1,actor_actress_2,2008_2,2009_2,2010_2,2011_2,2012_2,2013_2,2014_2,2015_2,2016_2,2017_2,2018_2,2019_2,actor_actress_3,2008_3,2009_3,2010_3,2011_3,2012_3,2013_3,2014_3,2015_3,2016_3,2017_3,2018_3,2019_3,actor_actress_4,2008_4,2009_4,2010_4,2011_4,2012_4,2013_4,2014_4,2015_4,2016_4,2017_4,2018_4,2019_4,main_actor1_rank,main_actor2_rank,average_calc,pre_slot_vr_average,main_actor1_pt,main_actor2_pt,TV_station_CX,TV_station_EX,TV_station_NTV,TV_station_TBS,start_at_month_1,start_at_month_4,start_at_month_7,start_at_month_10,start_at_year_2011,start_at_year_2012,start_at_year_2013,start_at_year_2014,start_at_year_2015,start_at_year_2016,start_at_year_2017,start_at_year_2018,start_at_year_2019,has_original_work_True,has_original_work_,time_table_土21,time_table_土22,time_table_土23,time_table_日21,time_table_日22,time_table_日23,time_table_月20,time_table_月21,time_table_木20,time_table_木21,time_table_木22,time_table_木23,time_table_水21,time_table_水22,time_table_火21,time_table_火22,time_table_金20,time_table_金22,time_table_金23,actor1_isj,actor2_isj
20,凪のお暇,10.3,9.5,9.1,9.8,8.6,10.3,10.8,9.9,10.3,10.8,-,-,-,-,-,9.95,5-4-0,2019-07-01,1907_TBS_金22,黒木華,高橋一生,コナリミサト「凪のお暇」,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.940000000000001,9.22,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,セミオトコ,4.0,4.4,3.6,2.4,3.5,3,3.2,4.3,-,-,-,-,-,-,-,3.55,4-3-0,2019-07-01,1907_EX_金23,山田涼介,木南晴夏,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,6.65,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
22,ボイス,12.6,8.4,10.7,9.3,11.9,11.1,10.9,11.2,10.4,12.9,-,-,-,-,-,10.94,4-5-0,2019-07-01,1907_NTV_土22,唐沢寿明,真木よう子,「Voice」,0.0,0.0,唐沢寿明,,,15,11,30,12,23,22,20,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,10.940000000000001,8.69,25.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,べしゃり暮らし,2.6,2.0,2.2,2.1,2.3,2.5,2,3,-,-,-,-,-,-,-,2.34,4-3-0,2019-07-01,1907_EX_土23,間宮祥太朗,渡辺大知,森田まさのり「べしゃり暮らし」,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3375,3.94,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ノーサイド・ゲーム,13.5,11.8,10.9,10.6,11.4,13,9.7,11.3,12.2,13.8,-,-,-,-,-,11.96,5-4-0,2019-07-01,1907_TBS_日21,大泉洋,松たか子,池井戸潤「ノーサイド・ゲーム」,0.0,0.0,大泉洋,,,,16,9,9,13,12,5,3,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,松たか子,,,16,19,,,23,11,17,,,,,16.0,11.82,10.48,0.0,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,あなたの番です,9.2,9.2,10.9,9.5,10.2,10.2,11,13,12.3,19.4,-,-,-,-,-,11.49,2005/2/2,2019-07-01,1907_NTV_日22,田中圭,原田知世,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49,7.01,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ラジエーションハウス,12.7,12.3,11.5,9.1,10.8,13.2,11.4,13.3,11.5,13.3,13.8,-,-,-,-,12.15,5-5-0,2019-04-01,1904_CX_月21,窪田正孝,本田翼,横幕智裕、モリタイシ「ラジエーションハウス」,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.081818181818182,10.75,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,パーフェクトワールド,6.9,5.8,6.0,6.5,6.1,6.3,6.1,6.1,6.6,7.1,-,-,-,-,-,6.37,2005/3/1,2019-04-01,1904_CX_火21,松坂桃李,山本美月,有賀リエ「パーフェクトワールド」,0.0,0.0,松坂桃李,,,,,,,,,25,19,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,6.25,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,わたし、定時で帰ります。,9.5,10.4,6.5,8.4,9.8,10.3,10.3,9.1,10.2,12.5,-,-,-,-,-,9.72,2006/2/1,2019-04-01,1904_TBS_火22,吉高由里子,向井理,朱野帰子「わたし、定時で帰ります。」,0.0,0.0,,,,,,,,,,,,,,吉高由里子,,,,,,28,,26,,21,,,向井理,,,,15,2,5,10,19,12,,,,,,,,,,,,,,,,,,,9.7,8.5,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,白衣の戦士！,10.3,9.3,9.3,8.4,8.3,7.2,7.7,8.4,8.6,9.6,-,-,-,-,-,8.71,2004/4/1,2019-04-01,1904_NTV_水22,中条あやみ,水川あさみ,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71,11.46,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,緊急取調室,15.2,13.4,12.3,12.6,13.7,12.3,12.9,12.8,12.9,13.6,-,-,-,-,-,13.23,5-4-0,2019-04-01,1904_EX_木21,天海祐希,田中哲司,,13.9,3.0,,,,,,,,,,,,,,天海祐希,,,1,6,3,3,9,8,7,8,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,13.170000000000002,10.65,39.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,ストロベリーナイト・サーガ,7.8,6.4,6.6,6.7,6.7,6.8,6.2,5.2,6.2,6.2,7.9,-,-,-,-,6.71,2005/3/2,2019-04-01,1904_CX_木22,二階堂ふみ,亀梨和也,誉田哲也「姫川玲子シリーズ」,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.609090909090909,6.83,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
