edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	doc_path	csr_title	csr_path	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00035	70210	4010401054508	株式会社ニッチツ	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10059KB	有価証券報告書－第90期(平成26年4月1日－平成27年3月31日)	docs/S10059KB.xbrl				0	2	15	12	2.13E7	8.9589996E9	3.58E8	7.14E8	6.15E8	1.58829998E10	1.06680003E10	1.06680003E10	1.27E8	6.0	28.96	501.89			1.54654996E10	1.03259996E10	1.03259996E10		5.96	4.62	4.0	7.97	67.17	20.65	1.23	215.0	259.0	180.0	189.0	213.0
E00036	15150	5010001008730	日鉄鉱業株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10057IC	有価証券報告書－第101期(平成26年4月1日－平成27年3月31日)	docs/S10057IC.xbrl				0	1	2	12	8.3523192E7	1.02782001E11	7.1629998E9	8.384E9	6.536E9	1.43802008E11	8.0631996E10	8.0631996E10	5.82E8	7.0	78.52	968.71			1.38979E11	7.6951503E10	7.6951503E10		8.49	6.03	6.97	8.16	56.07	8.9	0.76	429.0	635.0	408.0	533.0	418.0
E00037	15180	5290001010634	三井松島ホールディングス株式会社	2014	FY	2015-06-24	2014-04-01	2015-03-31	S10052MW	有価証券報告書－第159期(平成26年4月1日－平成27年3月31日)	docs/S10052MW.xbrl				0	1	2	12	1.38677568E8	5.0212999E10	3.54E8	1.063E9	1.38499994E9	3.32659999E10	2.0832E10	2.0832E10	5.54E8	4.0	9.99	150.25			3.4057001E10	2.04865004E10	2.04865004E10		6.76	3.12	0.7	2.12	62.62	40.0	2.7	127.0	141.0	114.0	130.0	125.0
E00041	16620	3010001108219	石油資源開発株式会社	2014	FY	2015-06-25	2014-04-01	2015-03-31	S10050TT	有価証券報告書－第45期(平成26年4月1日－平成27年3月31日)	docs/S10050TT.xbrl				0	1	2	12	5.7154776E7	2.27250995E11	1.99729992E10	2.656E10	2.00880005E10	4.88788984E11	3.93436987E11	3.93436987E11	2.85699994E9	50.0	351.49	6883.97			4.87794999E11	3.83511986E11	3.83511986E11		5.24	5.44	8.79	11.69	80.49	14.22	0.74	3810.0	4700.0	3045.0	3265.0	3590.0
E00043	16050	7010401078520	国際石油開発帝石株式会社	2014	FY	2015-06-25	2014-04-01	2015-03-31	S10052V4	有価証券報告書－第9期(平成26年4月1日－平成27年3月31日)	docs/S10052V4.xbrl	国際石油開発帝石株式会社	docs/E00043_2015_JP_32.pdf	http://csr-toshokan.net/ln_book/inpex-2015/download.pdf	0	1	2	12	1.46232358E9	4.17670005E11	1.39753996E11	2.46880993E11	1.49109998E11	3.51609999E12	2.39866007E12	2.39866007E12	2.62860001E10	18.0	102.11	1642.52			3.52909997E12	2.33649E12	2.33649E12		6.38	7.0	33.46	59.11	68.22	17.63	1.13	1338.0	1555.5	1028.5	1185.5	1304.0
E00048	19250	6120001059662	大和ハウス工業株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10057Y5	有価証券報告書－第76期(平成26年4月1日－平成27年3月31日)	docs/S10057Y5.xbrl				0	1	3	12	6.6042182E8	1.47098003E12	1.18665003E11	1.50674997E11	9.6955998E10	2.06996007E12	9.0813701E11	9.0809801E11	3.9535002E10	60.0	147.12	1378.41			1.93437997E12	8.6441001E11	8.6437102E11		11.22	7.79	8.07	10.24	43.87	40.78	4.57	2304.0	3615.0	2119.5	3503.0	2186.5
E00049	18810	9010001034987	株式会社ＮＩＰＰＯ	2014	FY	2015-06-23	2014-04-01	2015-03-31	S10050LQ	有価証券報告書－第114期(平成26年4月1日－平成27年3月31日)	docs/S10050LQ.xbrl				0	1	3	12	1.1940184E8	2.87054987E11	2.8585001E10	2.9984E10	1.8889001E10	3.75039001E11	2.22092001E11	2.22092001E11	2.97699994E9	25.0	158.58	1864.58			3.63444994E11	2.11239993E11	2.11239993E11		8.94	8.25	9.96	10.45	59.22	15.76	1.41	1974.0	2254.0	1596.0	1972.0	1817.5
E00051	18240	4010001008789	前田建設工業株式会社	2014	FY	2015-06-24	2014-04-01	2015-03-31	S100552E	有価証券報告書－第70期(平成26年4月1日－平成27年3月31日)	docs/S100552E.xbrl				0	1	3	12	1.852136E8	3.31258986E11	8.1789998E9	9.2690002E9	7.28E9	3.63270013E11	1.18808003E11	1.18808003E11	1.66499994E9	9.0	39.33	641.91			3.57252006E11	1.09462004E11	1.09462004E11		6.65	2.59	2.47	2.8	32.71	22.87	1.52	986.0	994.0	735.0	819.0	870.0
E00052	18010	4011101011880	大成建設株式会社	2014	FY	2015-06-29	2014-04-01	2015-03-31	S1005AZR	有価証券報告書－第155期(平成26年4月1日－平成27年3月31日)	docs/S1005AZR.xbrl				0	1	3	12	1.17126886E9	1.25054E12	4.8881E10	5.3645001E10	2.64789996E10	1.49062995E12	4.14596006E11	4.14596006E11	9.2659999E9	8.0	23.25	354.37			1.42583005E12	3.72336984E11	3.72336984E11		7.11	3.76	3.91	4.29	27.81	34.99	2.49	685.0	856.0	648.0	800.0	687.0
E00053	18030	1010401013565	清水建設株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S100565J	有価証券報告書－第113期(平成26年4月1日－平成27年3月31日)	docs/S100565J.xbrl				0	1	3	12	7.8851462E8	1.34076996E12	3.5372999E10	4.2582999E10	2.35540009E10	1.44541994E12	3.99901E11	3.99901E11	6.2870001E9	8.0	29.97	508.81			1.36665996E12	3.56133994E11	3.56133994E11		6.61	3.12	2.64	3.18	27.67	26.69	1.77	820.0	1237.0	776.0	990.0	818.0
E00055	18020	7010401088742	株式会社大林組	2014	FY	2015-06-29	2014-04-01	2015-03-31	S100524C	有価証券報告書－第111期(平成26年4月1日－平成27年3月31日)	docs/S100524C.xbrl				0	1	3	12	7.2150963E8	1.25981006E12	1.89580001E10	3.11479992E10	1.29240003E10	1.50183005E12	4.24902001E11	4.24902001E11	7.1810002E9	10.0	18.0	591.68			1.44975004E12	3.87910009E11	3.87910009E11		3.33	2.15	1.5	2.47	28.29	55.56	1.85	779.0	1197.0	717.0	1119.0	751.0
E00056	18610	1210001001082	株式会社　熊谷組	2014	FY	2015-06-26	2014-04-01	2015-03-31	S1005856	有価証券報告書－第78期(平成26年4月1日－平成27年3月31日)	docs/S1005856.xbrl				0	1	3	12	3.77544608E8	2.88157991E11	1.30250004E10	1.55239997E10	6.7779999E9	2.08570008E11	3.4974999E10	3.4974999E10	7.49E8	2.0	19.47	93.31			1.98200001E11	2.73625006E10	2.73625006E10	5.0E9	24.77	7.83	4.52	5.39	16.77	11.05	2.74	386.0	411.0	310.0	349.0	369.08334
E00058	18120	8010401006744	鹿島建設株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S1004YQZ	有価証券報告書－第118期(平成26年4月1日－平成27年3月31日)	docs/S1004YQZ.xbrl				0	1	3	12	1.057312E9	1.14100994E12	1.80760003E10	1.666E9	8.0390001E9	1.41389005E12	2.97889006E11	2.97889006E11	5.1990001E9	5.0	7.73	286.45			1.41842003E12	2.75975995E11	2.75975995E11		2.91	0.12	1.58	0.15	21.07	64.67	1.88	498.0	747.0	449.0	724.0	469.0
E00059	18870	3010401022812	日本国土開発株式会社	2014	FY	2015-08-28	2014-06-01	2015-05-31	S1005TWH	有価証券報告書－第86期(平成26年6月1日－平成27年5月31日)	docs/S1005TWH.xbrl																																					
E00060	18200	8010401021454	西松建設株式会社	2014	FY	2015-06-29	2014-04-01	2015-03-31	S10057Q5	有価証券報告書－第78期(平成26年4月1日－平成27年3月31日)	docs/S10057Q5.xbrl				0	1	3	12	2.77957504E8	3.25463015E11	5.7709998E9	8.3769999E9	8.624E9	3.70622005E11	1.45126998E11	1.45126998E11	2.76899994E9	10.0	31.14	524.02			3.64855984E11	1.39313005E11	1.39313005E11		6.19	2.3	1.77	2.57	39.16	32.11	1.99	499.0	548.0	404.0	460.0	450.5
E00061	18830	6010701009184	前田道路株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10056X5	有価証券報告書－第90期(平成26年4月1日－平成27年3月31日)	docs/S10056X5.xbrl				0	1	3	12	9.4159456E7	2.24605995E11	2.36120003E10	2.43499991E10	1.34419999E10	2.20566995E11	1.64605002E11	1.64605002E11	3.45799987E9	40.0	155.46	1903.94			2.14234006E11	1.58001005E11	1.58001005E11		8.51	11.37	10.51	10.84	74.63	25.73	2.19	1788.0	2445.0	1705.0	2039.0	1868.0
E00063	18050	8010001008703	飛島建設株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10057K8	有価証券報告書－第72期(平成26年4月1日－平成27年3月31日)	docs/S10057K8.xbrl				0	1	3	12	1.42861872E8	1.16382999E11	3.10499994E9	2.50200013E9	2.284E9	9.0709E10	1.62619996E10	1.62619996E10	1.1E7	0.0	16.88	29.46	1.20698214E10	1.1E7	8.7845003E10	9.37552E8	9.37552E8	1.37754481E10	242.44	2.85	2.67	2.15	17.93	0.0	0.0	281.0	290.0	180.0	194.0	226.75
E00064	18100	7010001034956	松井建設株式会社	2014	FY	2015-06-29	2014-04-01	2015-03-31	S1005AY9	有価証券報告書－第86期(平成26年4月1日－平成27年3月31日)	docs/S1005AY9.xbrl				0	1	3	12	3.058E7	8.3729998E10	3.52999987E9	3.77299994E9	2.12700006E9	6.0196999E10	2.54210007E10	2.54210007E10	3.05E8	10.0	69.71	832.89			5.7081E10	2.37879992E10	2.37879992E10		8.94	6.61	4.22	4.51	42.23	14.34	1.28	610.0	815.0	560.0	742.0	664.44446
E00065	18150	2010001008709	鉄建建設株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10056FR	有価証券報告書－第74期(平成26年4月1日－平成27年3月31日)	docs/S10056FR.xbrl				0	1	3	12	1.56689568E8	1.47396002E11	2.50099994E9	3.404E9	1.876E9	1.74738997E11	4.3257999E10	4.3257999E10	2.34E8	1.5	12.02	277.09			1.67733002E11	3.9084499E10	3.9084499E10		4.8	2.03	1.7	2.31	24.76	12.47	0.6	464.0	469.0	278.0	301.0	368.16666
